gs_name,gs_collection,gs_subcollection,gene_symbol,ensembl_gene
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,TXN2,ENSG00000100348
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,TXNRD1,ENSG00000198431
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,TXNRD2,ENSG00000184470
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,ADRM1,ENSG00000130706
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,AJUBA,ENSG00000129474
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,ARNT,ENSG00000143437
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,CA9,ENSG00000107159
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,CITED2,ENSG00000164442
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,CREBBP,ENSG00000005339
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,CUL2,ENSG00000108094
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EGLN1,ENSG00000135766
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EGLN2,ENSG00000269858
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EGLN3,ENSG00000129521
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,ELOB,ENSG00000103363
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,ELOC,ENSG00000154582
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EP300,ENSG00000100393
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EPAS1,ENSG00000116016
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EPO,ENSG00000130427
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,HIF1A,ENSG00000100644
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,HIF1AN,ENSG00000166135
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,HIF3A,ENSG00000124440
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,HIGD1A,ENSG00000181061
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,LIMD1,ENSG00000144791
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMA1,ENSG00000129084
